# DIRTLPAwb+ modularity: 0.32745504667017417
module	parasite	host
0	Euphrasia_vigursii	Arrhenatherum_elatius
0	Euphrasia_vigursii	Koeleria_macrantha
0	Euphrasia_vigursii	Plantago_maritima
0	Euphrasia_vigursii	Achillea_millefolium
0	Euphrasia_vigursii	Luzula_campestris
0	Euphrasia_vigursii	Cynosurus_cristatus
0	Euphrasia_vigursii	Digitalis_purpurea
0	Euphrasia_vigursii	Cerastium_fontanum
0	Euphrasia_vigursii	Ranunculus_acris
0	Euphrasia_vigursii	Potentilla_erecta
1	Euphrasia_tetraquetra	Scilla_verna
1	Euphrasia_tetraquetra	Plantago_lanceolata
1	Euphrasia_tetraquetra	Carex_caryophyllaea
1	Euphrasia_tetraquetra	Taraxacum_officinale
1	Euphrasia_tetraquetra	Galium_saxatile
1	Euphrasia_tetraquetra	Galium_album
1	Euphrasia_tetraquetra	Alchemilla_alpina
1	Euphrasia_tetraquetra	Agrimonia_eupatorium
1	Euphrasia_tetraquetra	Trifolium_pratense
1	Euphrasia_tetraquetra	Calluna_vulgaris
1	Euphrasia_tetraquetra	Hedera_helix
2	Euphrasia_anglica	Cirsium_palustris
2	Euphrasia_anglica	Pilosella_officinarum
2	Euphrasia_anglica	Aira_caryophyllaea
2	Euphrasia_anglica	Lolium_perenne
2	Euphrasia_anglica	Lotus_corniculatus
2	Euphrasia_anglica	Festuca_ovina
2	Euphrasia_anglica	Daucus_carota
2	Euphrasia_anglica	Holcus_lanatus
2	Euphrasia_anglica	Anthoxanthum_odoratum
2	Euphrasia_anglica	Solidago_virguraea
2	Euphrasia_anglica	Trifolium_repens
2	Euphrasia_anglica	Fragaria_vesca
2	Euphrasia_anglica	Succisa_pratensis
2	Euphrasia_anglica	Dactylis_glomerata
2	Euphrasia_anglica	Festuca_rubra
2	Euphrasia_anglica	Rumex_acetosa
2	Euphrasia_anglica	Pedicularis_sylvatica
2	Euphrasia_anglica	Centaurium_erythraea
2	Euphrasia_anglica	Leontodon_saxatilis
2	Euphrasia_anglica	Prunella_vulgaris
2	Euphrasia_anglica	Crepis_capillaris
2	Euphrasia_anglica	Potentilla_anserina
2	Euphrasia_anglica	Agrostis_capillaris
2	Euphrasia_anglica	Viola_riviniana
2	Euphrasia_anglica	Leontodon_hispidus
2	Euphrasia_anglica	Cryptogramma_crispa
2	Euphrasia_anglica	Agrostis_vinealis
2	Euphrasia_anglica	Serrtula_tinctoria
2	Euphrasia_anglica	Serratula_tinctoria
3	Euphrasia_micrantha	Erica_tetralix
3	Euphrasia_micrantha	Erica_cinerea
3	Euphrasia_micrantha	Polygala_vulgaris
3	Euphrasia_micrantha	Pteridium_aquilinum
3	Euphrasia_micrantha	Carex_flacca
3	Euphrasia_micrantha	Hypochaeris_radicata
3	Euphrasia_micrantha	Veronica_chamaedrys
3	Euphrasia_micrantha	Jacobaea_vulgaris
3	Euphrasia_micrantha	Ulex_europaeus
3	Euphrasia_micrantha	Hypericum_pulchrum
3	Euphrasia_micrantha	Thymus_polytrichus
3	Euphrasia_micrantha	Danthonia_decumbens
