# DIRTLPAwb+ edited interaction matrix
parasite	host	weight
Euphrasia_micrantha	Lotus_corniculatus	0
Euphrasia_micrantha	Dactylis_glomerata	0
Euphrasia_micrantha	Solidago_virguraea	0
Euphrasia_micrantha	Succisa_pratensis	0
Euphrasia_micrantha	Pedicularis_sylvatica	0
Euphrasia_micrantha	Plantago_maritima	0
Euphrasia_micrantha	Thymus_polytrichus	0
Euphrasia_micrantha	Carex_caryophyllaea	0
Euphrasia_micrantha	Hypericum_pulchrum	0
Euphrasia_micrantha	Polygala_vulgaris	1.86666666666667
Euphrasia_micrantha	Erica_cinerea	0
Euphrasia_micrantha	Scilla_verna	0
Euphrasia_micrantha	Serrtula_tinctoria	0
Euphrasia_micrantha	Leontodon_saxatilis	0
Euphrasia_tetraquetra	Holcus_lanatus	4.08333333333333
Euphrasia_tetraquetra	Koeleria_macrantha	0
Euphrasia_tetraquetra	Prunella_vulgaris	0
Euphrasia_tetraquetra	Agrimonia_eupatorium	0
Euphrasia_tetraquetra	Galium_album	0
Euphrasia_tetraquetra	Potentilla_erecta	6.54545454545455
Euphrasia_tetraquetra	Crepis_capillaris	0
Euphrasia_tetraquetra	Leontodon_hispidus	0
Euphrasia_tetraquetra	Hedera_helix	0
Euphrasia_tetraquetra	Cirsium_palustris	0
Euphrasia_tetraquetra	Veronica_chamaedrys	0
Euphrasia_tetraquetra	Taraxacum_officinale	0
Euphrasia_tetraquetra	Plantago_lanceolata	6.43478260869565
Euphrasia_tetraquetra	Ranunculus_acris	0
Euphrasia_tetraquetra	Potentilla_anserina	0
Euphrasia_tetraquetra	Pteridium_aquilinum	0
Euphrasia_tetraquetra	Luzula_campestris	0
Euphrasia_tetraquetra	Lolium_perenne	0
Euphrasia_tetraquetra	Trifolium_repens	2.45833333333333
Euphrasia_tetraquetra	Cerastium_fontanum	0
Euphrasia_tetraquetra	Festuca_rubra	8.9
Euphrasia_tetraquetra	Fragaria_vesca	0
Euphrasia_tetraquetra	Anthoxanthum_odoratum	0.32
Euphrasia_tetraquetra	Arrhenatherum_elatius	0
Euphrasia_tetraquetra	Trifolium_pratense	0
Euphrasia_tetraquetra	Cynosurus_cristatus	0
Euphrasia_tetraquetra	Agrostis_vinealis	0
Euphrasia_tetraquetra	Jacobaea_vulgaris	0
Euphrasia_tetraquetra	Rumex_acetosa	0
Euphrasia_tetraquetra	Cryptogramma_crispa	0
Euphrasia_tetraquetra	Festuca_ovina	0
Euphrasia_tetraquetra	Hypochaeris_radicata	0.12
Euphrasia_tetraquetra	Erica_tetralix	0
Euphrasia_tetraquetra	Danthonia_decumbens	0.28
Euphrasia_tetraquetra	Agrostis_capillaris	8.15
Euphrasia_tetraquetra	Alchemilla_alpina	0
Euphrasia_tetraquetra	Aira_caryophyllaea	0
Euphrasia_tetraquetra	Galium_saxatile	0
Euphrasia_tetraquetra	Pilosella_officinarum	0
Euphrasia_tetraquetra	Digitalis_purpurea	0
Euphrasia_tetraquetra	Calluna_vulgaris	0.12
Euphrasia_tetraquetra	Serratula_tinctoria	10.85
Euphrasia_tetraquetra	Daucus_carota	6.83333333333333
Euphrasia_tetraquetra	Viola_riviniana	11.1
Euphrasia_tetraquetra	Centaurium_erythraea	0.12
Euphrasia_tetraquetra	Carex_flacca	9.7
Euphrasia_tetraquetra	Achillea_millefolium	0.6
Euphrasia_tetraquetra	Ulex_europaeus	1.84
Euphrasia_tetraquetra	Lotus_corniculatus	10.4
Euphrasia_tetraquetra	Dactylis_glomerata	7.21739130434783
Euphrasia_tetraquetra	Solidago_virguraea	1
Euphrasia_tetraquetra	Succisa_pratensis	2.60869565217391
Euphrasia_tetraquetra	Pedicularis_sylvatica	0.6
Euphrasia_tetraquetra	Plantago_maritima	2.52380952380952
Euphrasia_tetraquetra	Thymus_polytrichus	0
Euphrasia_tetraquetra	Carex_caryophyllaea	0
Euphrasia_tetraquetra	Hypericum_pulchrum	0.28
Euphrasia_tetraquetra	Polygala_vulgaris	0
Euphrasia_tetraquetra	Erica_cinerea	1.05
Euphrasia_tetraquetra	Scilla_verna	6.90476190476191
Euphrasia_tetraquetra	Serrtula_tinctoria	0
Euphrasia_tetraquetra	Leontodon_saxatilis	1.08333333333333
Euphrasia_vigursii	Holcus_lanatus	2.6
Euphrasia_vigursii	Koeleria_macrantha	0
Euphrasia_vigursii	Prunella_vulgaris	0
Euphrasia_vigursii	Agrimonia_eupatorium	0
Euphrasia_vigursii	Galium_album	0
Euphrasia_vigursii	Potentilla_erecta	13.4
Euphrasia_vigursii	Crepis_capillaris	0
Euphrasia_vigursii	Leontodon_hispidus	0
Euphrasia_vigursii	Hedera_helix	0
Euphrasia_vigursii	Cirsium_palustris	0
Euphrasia_vigursii	Veronica_chamaedrys	0
Euphrasia_vigursii	Taraxacum_officinale	0
Euphrasia_vigursii	Plantago_lanceolata	5.48
Euphrasia_vigursii	Ranunculus_acris	0
Euphrasia_vigursii	Potentilla_anserina	0
Euphrasia_vigursii	Pteridium_aquilinum	0
Euphrasia_vigursii	Luzula_campestris	0
Euphrasia_vigursii	Lolium_perenne	0
Euphrasia_vigursii	Trifolium_repens	2.08
Euphrasia_vigursii	Cerastium_fontanum	0
Euphrasia_vigursii	Festuca_rubra	15
Euphrasia_vigursii	Fragaria_vesca	0
Euphrasia_vigursii	Anthoxanthum_odoratum	5.64
Euphrasia_vigursii	Arrhenatherum_elatius	0
Euphrasia_vigursii	Trifolium_pratense	1.36
Euphrasia_vigursii	Cynosurus_cristatus	0
Euphrasia_vigursii	Agrostis_vinealis	0.88
Euphrasia_vigursii	Jacobaea_vulgaris	0
Euphrasia_vigursii	Rumex_acetosa	0
Euphrasia_vigursii	Cryptogramma_crispa	0
Euphrasia_vigursii	Festuca_ovina	2.24
Euphrasia_vigursii	Hypochaeris_radicata	1.28
